# ===========================================,,,,,,,,,,,,
# timeslice=63, slack=2, packetLoss=0,,,,,,,,,,
# acc1x, acc1y, acc1z, gyro1x, gyro1y, gyro1z, acc2x, acc2y, acc2z, gyro2x, gyro2y, gyro2z,
-496,-1754,-566,-112,1575,-2243,1608,-766,-1220,-2966,-5602,-526,5
-3496,-3324,-314,186,-2543,117,2804,-1196,-1894,-2215,-1822,309,5
-2932,-3170,-1894,-366,-4797,933,2020,-748,64,-1932,2154,604,5
-1410,-2342,-472,1474,-4360,-1075,1438,120,2,-1237,2115,12,5
2526,1552,-2410,161,179,-555,900,-382,938,1580,1351,-400,5
4128,-1866,-3494,-4330,3234,104,2852,-1370,6110,2801,-6063,-2423,5
6834,-9898,-8458,-783,2384,-1604,14576,502,10358,1159,-13651,-1897,5
4782,-31466,-5128,1779,-3409,-4649,30288,-1124,13838,-1773,-17546,-859,5
286,-32768,-29274,16012,6856,-539,32767,-10598,17844,-4002,-12329,-5573,5
-28042,-32768,-12804,7346,72,5452,32767,-8974,15174,-1915,976,-370,5
-10478,-32768,2994,-3493,-1265,6142,32767,-6848,17576,-825,5747,468,5
-12552,-32768,-5736,-197,-8388,639,32767,-6006,19408,-2452,13125,-741,5
-7542,-32768,-16760,-2152,6024,1198,28678,-4248,12852,-314,11075,224,5
4408,-26782,-14584,-6691,3524,-1983,16020,-2614,9968,1928,8034,503,5
6908,-13496,-12456,-15,231,-5244,10240,-754,5066,4428,2695,1693,5
2482,-3402,-1328,6619,-1240,-4758,6286,892,-496,3658,5824,3012,5
-1214,6140,180,-1876,-537,-807,14,1170,-1946,4831,8840,3437,5
240,8750,1710,-3422,391,2979,-3662,1606,-832,2515,4872,849,5
1888,5516,496,-1670,3536,1106,-4794,2452,-758,259,-2653,-1445,5
3442,2772,-332,347,6135,662,-542,1252,-1010,-3087,-5993,-1001,5
1452,-2206,-1100,-498,2732,911,2466,-698,-1260,-4493,-4692,123,5
-452,-4626,-530,114,-778,1146,3028,-1684,-1504,-4594,-1435,237,5
-1754,-3904,-2028,-15,-2282,744,1712,-978,-668,-3624,1664,284,5
-2366,-3134,-1344,1795,-1923,-1001,412,126,206,-2998,3105,48,5
824,1312,-2298,1077,-1064,-1095,214,-270,-92,-1435,3433,64,5
# ---,,,,,,,,,,,,5
5170,724,-4076,-2422,-276,-384,1586,-2464,4106,2115,-4701,-2858,5
6624,-9640,-4156,-46,1335,-1091,13852,460,8274,1902,-13047,-2739,5
6686,-27116,-7328,5230,862,-225,25714,-80,9040,-2011,-14499,-475,5
-3858,-32768,-10974,8098,1515,-482,32767,-6054,14130,-5024,-8952,-4341,5
-20314,-32768,-28164,8321,215,4244,32767,-9346,20172,-3207,-5445,-3813,5
-13566,-32768,-238,1962,756,195,32767,-7450,18092,-2731,2132,1319,5
-5314,-32768,-8724,-1389,-1519,2945,32767,-5792,19336,-3512,6835,1256,5
